기준년월,국가코드,수출입구분코드,순위,국가명,수출입구분명,당월수출입중량(KG),당월수출입미화금액(1$),당해누계수출입중량(KG),당해누계수출입미화금액(1$),데이터기준일자
201805,BG,I,45,불가리아,수입,21402,238035,334714,2934099,2018-06-30
201805,BR,I,46,브라질,수입,183188,696933,732189,2834990,2018-06-30
201805,SC,I,47,세이셜,수입,123091,512455,518700,2739372,2018-06-30
201805,MM,I,48,미얀마,수입,167540,643663,746056,2738160,2018-06-30
201805,KI,I,49,키리바티,수입,109300,441903,1321343,2595705,2018-06-30
201805,LY,I,50,리비아,수입,11543,344658,107983,2372352,2018-06-30
201805,AO,I,51,앙골라,수입,217140,445619,996367,2270076,2018-06-30
201805,ZA,I,52,남아프리카,수입,93133,222982,833377,2062115,2018-06-30
201805,AE,I,53,아랍에미리트연합,수입,48008,213767,448457,2014358,2018-06-30
201805,GW,I,54,기네비소,수입,59385,253665,365946,1671441,2018-06-30
201805,NL,I,55,네덜란드,수입,210808,409201,782728,1645183,2018-06-30
201805,DZ,I,56,알제리,수입,30773,739976,256627,1628293,2018-06-30
201805,TN,I,57,튀니지,수입,24554,305433,110929,1337766,2018-06-30
201805,SG,I,58,싱가포르,수입,6178,263503,14553,1175095,2018-06-30
201805,BD,I,59,방글라데시,수입,104893,211610,369121,1173727,2018-06-30
201805,EE,I,60,에스토니아,수입,0,0,1438187,867861,2018-06-30
201805,PA,I,61,파나마,수입,53562,309378,125947,777775,2018-06-30
201805,OM,I,62,오만,수입,337528,415373,557181,729527,2018-06-30
201805,UY,I,63,우루과이,수입,0,0,225480,704380,2018-06-30
201805,FM,I,64,마이크로네시아,수입,49980,392176,75656,609468,2018-06-30
201805,RO,I,65,루마니아,수입,5290,35443,80911,497447,2018-06-30
201805,GR,I,66,그리스,수입,153617,44226,1103779,481239,2018-06-30
201805,LK,I,67,스리랑카,수입,9240,108367,38389,444401,2018-06-30
201805,AS,I,68,미령사모아,수입,405241,441713,405242,441731,2018-06-30
201805,CU,I,69,쿠바,수입,26904,419159,26904,419159,2018-06-30
201805,EG,I,70,이집트,수입,8799,129465,20283,296255,2018-06-30
201805,BE,I,71,벨기에,수입,0,0,12373,284886,2018-06-30
201805,LR,I,72,라이베리아,수입,0,0,87000,276450,2018-06-30
201805,DE,I,73,독일,수입,23136,73696,90588,264747,2018-06-30
201805,MG,I,74,마다카스카르,수입,8721,31743,61963,226111,2018-06-30
201805,GL,I,75,그린랜드,수입,560,16800,24635,189148,2018-06-30
201805,FK,I,76,포클랜드군도,수입,19264,174160,19264,174160,2018-06-30
201805,PL,I,77,폴란드,수입,2235,35251,28835,171808,2018-06-30
201805,FJ,I,78,피지,수입,0,0,20441,154609,2018-06-30
201805,AG,I,79,안티가바부다,수입,46000,147200,46000,147200,2018-06-30
201805,GH,I,80,가나,수입,0,0,42962,147052,2018-06-30
201805,MU,I,81,모리셔스,수입,0,0,39425,129452,2018-06-30
201805,LV,I,82,라트비아,수입,0,0,56706,126909,2018-06-30
201805,SO,I,83,소말리아,수입,1430,4895,50174,125341,2018-06-30
201805,IR,I,84,이란,수입,7640,34007,43663,109404,2018-06-30
201805,TZ,I,85,탄자니아,수입,0,0,6624,104656,2018-06-30
201805,HR,I,86,크로아티아,수입,183,2318,4345,98586,2018-06-30
201805,BZ,I,87,벨리제,수입,0,0,17393,95238,2018-06-30
201805,KE,I,88,케냐,수입,8712,43403,16872,86413,2018-06-30
201805,GY,I,89,가이아나,수입,0,0,51058,81898,2018-06-30
201805,LT,I,90,리투아니아,수입,5008,29381,10791,72525,2018-06-30
201805,IL,I,91,이스라엘,수입,4483,21398,42506,62007,2018-06-30
201805,CO,I,92,콜롬비아,수입,76,3794,974,58328,2018-06-30
201805,MZ,I,93,모잠비크,수입,0,0,22088,55901,2018-06-30
201805,AL,I,94,알바니아,수입,0,0,4227,54592,2018-06-30
201805,SR,I,95,수리남,수입,0,0,22500,52982,2018-06-30
201805,HN,I,96,온두라스,수입,0,0,50008,48504,2018-06-30
201805,SE,I,97,스웨덴,수입,55211,19075,110649,45066,2018-06-30
201805,AT,I,98,오스트리아,수입,11350,8722,82753,42608,2018-06-30
201805,FO,I,99,파로에군도,수입,24340,31080,24340,31080,2018-06-30
201805,CZ,I,100,체코공화국,수입,28,1543,103,20229,2018-06-30
201805,CY,I,101,사이프러스,수입,0,0,446,13966,2018-06-30
201805,UA,I,102,우크라이나,수입,4704,9140,4709,11540,2018-06-30
201805,CI,I,103,코르디봐르,수입,232,1104,795,8946,2018-06-30
201805,KH,I,104,캄보디아,수입,478,203,13193,5032,2018-06-30
201805,TO,I,105,통가,수입,3360,5006,3360,5006,2018-06-30
201805,HU,I,106,헝가리,수입,113,4491,113,4491,2018-06-30
201805,NG,I,107,나이지리아,수입,0,0,18,4053,2018-06-30
201805,HT,I,108,아이티,수입,0,0,482,3805,2018-06-30
201805,CG,I,109,콩고,수입,0,0,71,3102,2018-06-30
201805,MV,I,110,몰디브,수입,132,1585,238,2852,2018-06-30
201805,KG,I,111,키르기스,수입,0,0,140,1898,2018-06-30
201805,CH,I,112,스위스,수입,44,1786,44,1786,2018-06-30
201805,PW,I,113,팔라우,수입,0,0,52,611,2018-06-30
201805,LA,I,114,라오스,수입,130,176,130,176,2018-06-30
201805,MN,I,115,몽고,수입,7,46,21,141,2018-06-30
201805,FI,I,116,핀란드,수입,0,0,6,120,2018-06-30
201805,GT,I,117,과테말라,수입,0,0,2,93,2018-06-30
201805,JO,I,118,요르단,수입,0,0,2,54,2018-06-30
